V1,V2,V3,__target__
295,640,0.362213,2
722,661,0.377808,2
258,878,0.531469,2
350,887,0.395503,2
275,905,0.560843,2
113,897,0.367352,2
127,912,0.377256,2
394,930,0.39933,2
470,946,0.364341,2
256,973,0.472952,2
354,1007,0.406462,2
129,275,0.53284,0
852,332,0.403658,1
378,665,0.688785,1
211,748,0.592436,0
130,880,0.579424,4
38,16,0.408105,2
272,22,0.471414,2
490,36,0.411613,2
95,42,0.361925,2
804,46,0.404985,2
478,60,0.350463,2
665,70,0.457729,2
809,72,0.48991,2
858,105,0.621626,2
314,72,0.357765,2
634,72,0.355954,2
350,85,0.353965,2
78,86,0.359622,2
266,93,0.440889,2
321,90,0.364508,2
546,104,0.525977,2
352,107,0.430598,2
419,115,0.46837,2
900,114,0.404794,2
89,119,0.386116,2
966,120,0.377202,2
85,134,0.369735,2
515,135,0.415279,2
962,134,0.373537,2
204,134,0.362051,2
715,144,0.437542,2
888,141,0.445517,2
355,157,0.455576,2
548,156,0.391033,2
890,156,0.375093,2
585,181,0.490191,2
274,173,0.367713,2
52,177,0.413326,2
18,193,0.41773,2
911,188,0.374492,2
306,200,0.438686,2
78,202,0.366547,2
241,215,0.435638,2
117,214,0.392063,2
739,217,0.453036,2
908,221,0.455489,2
376,225,0.484903,2
945,223,0.42021,2
322,242,0.525262,2
645,233,0.418547,2
829,229,0.476427,2
76,229,0.382341,2
40,237,0.410508,2
389,244,0.481051,2
261,245,0.426245,2
566,250,0.350177,2
66,252,0.351636,2
106,255,0.429759,2
642,263,0.427067,2
568,271,0.356159,2
374,276,0.417398,2
640,282,0.357933,2
353,293,0.41046,2
107,298,0.408193,2
327,296,0.374257,2
641,295,0.384762,2
703,307,0.434487,2
335,313,0.425888,2
54,330,0.528546,2
80,320,0.355526,2
243,327,0.422316,2
420,327,0.352626,2
513,326,0.351573,2
276,337,0.402919,2
92,348,0.442395,2
335,363,0.608739,2
47,354,0.361953,2
531,364,0.418501,2
492,370,0.366058,2
858,373,0.38096,2
547,376,0.357389,2
78,385,0.379439,2
590,383,0.445733,2
59,396,0.43111,2
110,399,0.505105,2
267,395,0.473184,2
555,396,0.4479,2
591,403,0.359864,2
87,405,0.354175,2
90,412,0.354681,2
87,429,0.428092,2
314,434,0.422951,2
611,432,0.393705,2
822,432,0.35563,2
113,445,0.536683,2
60,451,0.476023,2
167,444,0.43261,2
277,447,0.539405,2
229,449,0.385051,2
397,452,0.381202,2
134,463,0.382749,2
329,465,0.384603,2
896,460,0.351443,2
898,472,0.419834,2
399,480,0.507708,2
304,484,0.413898,2
276,483,0.361395,2
198,488,0.426512,2
220,491,0.41391,2
118,494,0.42542,2
971,493,0.464458,2
897,496,0.485664,2
311,503,0.42562,2
264,511,0.635825,2
110,506,0.384554,2
351,506,0.387255,2
390,511,0.370024,2
142,527,0.467202,2
902,522,0.454153,2
179,549,0.477375,2
293,535,0.429012,2
387,538,0.479838,2
421,544,0.539619,2
472,541,0.369498,2
919,543,0.37509,2
669,555,0.418286,2
314,564,0.433063,2
820,562,0.352845,2
896,564,0.373321,2
907,565,0.367213,2
866,566,0.351469,2
93,576,0.454109,2
424,576,0.419561,2
909,581,0.416162,2
217,576,0.355335,2
221,594,0.434486,2
335,599,0.475205,2
920,593,0.385859,2
894,604,0.409239,2
303,600,0.413395,2
461,602,0.394028,2
864,613,0.381165,2
121,627,0.41908,2
918,633,0.509702,2
783,632,0.50774,2
678,638,0.35565,2
132,660,0.35816,2
752,660,0.359075,2
770,662,0.350229,2
906,665,0.364846,2
407,668,0.384685,2
896,689,0.456761,2
1002,686,0.364109,2
561,690,0.374128,2
402,697,0.364074,2
599,699,0.428939,2
458,706,0.351695,2
948,710,0.418572,2
915,708,0.353559,2
631,718,0.422045,2
979,723,0.441407,2
669,742,0.549416,2
428,729,0.407986,2
787,742,0.476218,2
395,734,0.363941,2
462,741,0.463335,2
755,749,0.430862,2
706,767,0.489427,2
784,762,0.376243,2
856,760,0.35413,2
516,763,0.361642,2
863,763,0.374601,2
861,774,0.376096,2
775,791,0.521547,2
894,776,0.406459,2
461,776,0.363944,2
724,787,0.365571,2
370,804,0.555174,2
818,817,0.59771,2
293,802,0.357184,2
498,808,0.377499,2
917,816,0.643091,2
992,822,0.529104,2
621,816,0.446207,2
387,818,0.373022,2
19,831,0.472131,2
638,828,0.461288,2
913,837,0.391124,2
672,843,0.582322,2
563,852,0.500342,2
85,847,0.404314,2
410,851,0.559137,2
55,853,0.379261,2
991,858,0.421189,2
785,859,0.416554,2
253,856,0.370382,2
528,860,0.408145,2
184,867,0.39296,2
646,867,0.378305,2
825,883,0.617989,2
43,882,0.581899,2
74,872,0.364174,2
202,875,0.390836,2
571,885,0.462575,2
678,882,0.368833,2
323,917,0.526709,2
788,890,0.388296,2
920,888,0.351075,2
71,899,0.396645,2
880,904,0.374119,2
855,914,0.495085,2
615,924,0.494158,2
676,915,0.364893,2
27,933,0.453906,2
57,929,0.373551,2
916,935,0.437348,2
674,939,0.535933,2
354,937,0.368804,2
94,946,0.452756,2
66,949,0.469036,2
210,945,0.357824,2
568,942,0.355819,2
719,949,0.463815,2
118,949,0.362292,2
918,960,0.494963,2
211,960,0.394282,2
597,958,0.37595,2
676,959,0.39137,2
95,978,0.546523,2
118,975,0.517398,2
890,965,0.477047,2
38,983,0.500344,2
233,965,0.407189,2
985,964,0.375524,2
545,975,0.498933,2
617,971,0.409724,2
995,979,0.482396,2
294,971,0.37016,2
667,979,0.494303,2
714,977,0.510554,2
427,994,0.555398,2
916,997,0.560899,2
577,986,0.359973,2
846,989,0.390241,2
798,990,0.357647,2
145,1004,0.464033,2
705,1001,0.382083,2
590,1007,0.449725,2
840,1007,0.462472,2
362,196,0.676628,0
493,62,0.686454,1
481,36,0.622708,1
582,200,0.555211,0
386,397,0.72235,0
439,21,0.660485,1
558,146,0.586567,0
169,609,0.48915,0
96,283,0.582287,0
133,275,0.591527,0
709,34,0.652628,0
334,36,0.632614,2
769,18,0.435379,2
976,19,0.430029,2
1003,19,0.407354,2
92,21,0.411959,2
251,27,0.558651,2
896,23,0.383637,2
567,32,0.482223,2
516,33,0.630101,2
860,30,0.350671,2
921,30,0.367707,2
771,56,0.60714,2
292,50,0.434231,2
166,41,0.358209,2
823,45,0.431216,2
947,51,0.445895,2
382,58,0.662264,2
548,52,0.352384,2
882,93,0.581681,2
621,61,0.428001,2
816,65,0.565279,2
212,62,0.355304,2
990,102,0.555752,2
440,67,0.366686,2
313,75,0.473583,2
108,72,0.350179,2
142,85,0.666703,2
204,93,0.567579,2
395,79,0.36395,2
928,90,0.472769,2
834,86,0.501927,2
816,86,0.413312,2
352,94,0.477258,2
32,92,0.357932,2
427,106,0.454523,2
674,101,0.375323,2
71,110,0.408694,2
346,122,0.469903,2
19,126,0.534614,2
451,127,0.444938,2
407,130,0.501448,2
641,130,0.417615,2
908,142,0.449031,2
236,142,0.366108,2
17,147,0.473264,2
772,144,0.412311,2
412,144,0.352563,2
850,153,0.475798,2
998,152,0.387754,2
442,155,0.379083,2
413,158,0.453433,2
326,168,0.470381,2
875,168,0.586724,2
478,166,0.350408,2
1005,169,0.387954,2
739,176,0.37183,2
924,187,0.4912,2
450,177,0.355709,2
779,178,0.402609,2
326,189,0.362829,2
633,195,0.413045,2
836,199,0.570202,2
813,222,0.429172,2
282,200,0.367965,2
460,202,0.350376,2
960,210,0.439398,2
191,224,0.442932,2
437,232,0.774832,2
633,216,0.423316,2
27,231,0.449886,2
396,224,0.425024,2
924,222,0.390886,2
945,232,0.557213,2
256,227,0.401782,2
493,228,0.390209,2
965,240,0.371873,2
761,250,0.563918,2
492,247,0.415183,2
851,250,0.548034,2
382,247,0.382171,2
436,268,0.614872,2
159,262,0.50133,2
911,268,0.452829,2
511,275,0.463861,2
21,284,0.553106,2
222,279,0.5621,2
313,275,0.426188,2
898,296,0.704332,2
173,285,0.449605,2
771,285,0.498758,2
541,283,0.382901,2
126,303,0.532618,2
579,322,0.563851,2
804,298,0.355803,2
511,314,0.454707,2
158,322,0.680753,2
414,308,0.400312,2
766,308,0.41842,2
805,312,0.421479,2
367,320,0.437817,2
207,316,0.428754,2
98,320,0.359259,2
457,324,0.447088,2
885,329,0.544682,2
446,324,0.363956,2
911,335,0.442276,2
982,327,0.436442,2
102,333,0.399475,2
262,339,0.449026,2
492,334,0.375778,2
389,341,0.382928,2
956,374,0.713327,2
444,394,0.543263,2
524,346,0.369976,2
19,354,0.478328,2
986,350,0.355415,2
130,354,0.361245,2
281,362,0.4756,2
648,354,0.362992,2
740,364,0.45133,2
773,366,0.432722,2
141,378,0.414188,2
195,377,0.42057,2
587,380,0.43848,2
623,376,0.396686,2
836,382,0.601477,2
772,382,0.482897,2
284,387,0.421019,2
640,386,0.368294,2
194,390,0.356875,2
917,403,0.499381,2
645,403,0.462886,2
822,403,0.392782,2
871,412,0.559799,2
507,410,0.474138,2
983,434,0.500007,2
215,420,0.361563,2
262,420,0.351969,2
775,455,0.524609,2
825,443,0.505388,2
485,459,0.471148,2
302,447,0.388066,2
347,476,0.5532,2
440,544,0.715535,2
390,458,0.351379,2
163,477,0.427266,2
398,484,0.480361,2
809,482,0.424632,2
526,482,0.351683,2
285,511,0.471549,2
82,492,0.359276,2
819,513,0.449877,2
787,499,0.411325,2
981,496,0.351797,2
499,523,0.450386,2
578,503,0.360038,2
947,521,0.35461,2
772,529,0.418727,2
732,552,0.502039,2
302,547,0.356146,2
804,566,0.490549,2
565,558,0.415346,2
520,572,0.471073,2
341,570,0.457462,2
80,575,0.40311,2
694,575,0.389265,2
736,577,0.481768,2
375,580,0.425477,2
565,586,0.490912,2
248,595,0.439185,2
701,598,0.409578,2
409,604,0.555138,2
484,625,0.491286,2
828,604,0.533398,2
557,611,0.438234,2
301,631,0.498789,2
772,620,0.364182,2
734,633,0.449882,2
350,631,0.391404,2
16,632,0.374866,2
830,646,0.450414,2
554,649,0.361804,2
800,646,0.355305,2
442,658,0.379395,2
512,656,0.369958,2
793,666,0.510458,2
393,665,0.476033,2
693,669,0.408276,2
246,678,0.455383,2
560,677,0.385635,2
415,725,0.639495,2
818,685,0.390407,2
703,697,0.575151,2
563,692,0.38239,2
391,701,0.443246,2
788,704,0.367358,2
526,706,0.351857,2
735,720,0.426181,2
851,721,0.497938,2
492,717,0.417656,2
386,728,0.439593,2
773,727,0.377217,2
808,728,0.352464,2
540,731,0.3572,2
590,736,0.520899,2
298,740,0.389274,2
877,744,0.471427,2
366,815,0.609245,2
773,745,0.425561,2
640,748,0.391348,2
464,748,0.370621,2
496,751,0.421009,2
603,774,0.500765,2
244,792,0.648166,2
738,756,0.354116,2
778,765,0.488217,2
175,768,0.38619,2
518,776,0.612918,2
454,770,0.397959,2
874,773,0.384951,2
908,790,0.617631,2
82,779,0.357451,2
465,800,0.541152,2
754,799,0.386198,2
335,802,0.364548,2
614,825,0.450143,2
617,807,0.377404,2
771,817,0.473445,2
920,819,0.472711,2
745,823,0.487949,2
496,833,0.56532,2
98,830,0.350094,2
407,835,0.452982,2
941,836,0.489929,2
312,832,0.353765,2
795,855,0.548905,2
192,839,0.452603,2
318,850,0.365415,2
396,852,0.367458,2
697,857,0.454103,2
123,863,0.414123,2
144,864,0.474912,2
232,873,0.443338,2
890,871,0.361542,2
75,876,0.380105,2
301,880,0.434754,2
752,883,0.492242,2
111,884,0.390759,2
668,916,0.58218,2
142,887,0.396826,2
895,890,0.485243,2
288,933,0.55048,2
597,899,0.411876,2
180,902,0.531362,2
758,911,0.46139,2
938,900,0.392483,2
387,914,0.498344,2
46,915,0.454876,2
735,920,0.430214,2
993,924,0.528316,2
511,922,0.422164,2
413,940,0.452975,2
64,940,0.369061,2
196,979,0.724997,2
492,954,0.377183,2
679,983,0.509283,2
29,986,0.576587,2
246,960,0.373607,2
992,968,0.525485,2
778,962,0.377086,2
242,968,0.353364,2
161,971,0.362341,2
370,978,0.486677,2
731,978,0.429134,2
925,974,0.356069,2
466,987,0.473332,2
402,987,0.366644,2
624,988,0.382426,2
136,999,0.482484,2
702,986,0.359362,2
380,999,0.400196,2
831,1004,0.459569,2
930,998,0.355797,2
369,118,0.721106,0
207,175,0.712802,1
419,344,0.644106,0
594,317,0.794119,3
660,269,0.793608,3
621,174,0.630913,0
536,65,0.55473,0
560,477,0.608054,4
694,268,0.611513,0
780,58,0.750943,4
814,420,0.750488,4
960,595,0.776594,4
850,573,0.546749,4
53,31,0.597973,2
176,29,0.623458,2
265,16,0.381149,2
444,16,0.363694,2
613,22,0.541654,2
800,19,0.582845,2
135,36,0.440651,2
487,32,0.440476,2
902,23,0.365184,2
987,25,0.50428,2
263,54,0.60628,2
893,105,0.728407,2
76,28,0.35443,2
244,36,0.365012,2
882,37,0.421361,2
550,44,0.500037,2
607,49,0.362294,2
926,47,0.356059,2
346,50,0.366014,2
923,59,0.389711,2
46,67,0.488863,2
452,81,0.615334,2
146,66,0.362801,2
181,69,0.483548,2
611,83,0.63074,2
801,77,0.588619,2
982,78,0.402589,2
231,88,0.489107,2
555,82,0.466062,2
20,87,0.361227,2
70,98,0.427587,2
752,100,0.449784,2
198,125,0.537881,2
265,110,0.419643,2
484,137,0.641118,2
649,126,0.517283,2
138,121,0.470477,2
590,120,0.408978,2
755,136,0.457031,2
26,132,0.503261,2
170,163,0.524468,2
666,162,0.451257,2
150,162,0.397956,2
420,178,0.565945,2
562,178,0.622948,2
688,170,0.446965,2
30,180,0.379897,2
718,196,0.604297,2
93,186,0.416523,2
285,190,0.704934,2
322,186,0.36586,2
388,186,0.367684,2
128,201,0.501634,2
888,197,0.442425,2
55,195,0.351441,2
454,242,0.592447,2
806,198,0.352679,2
25,209,0.388879,2
290,215,0.474517,2
159,213,0.379437,2
227,218,0.408071,2
647,218,0.391909,2
390,239,0.524797,2
516,226,0.446655,2
110,221,0.376744,2
941,234,0.56786,2
54,225,0.412794,2
552,224,0.452276,2
604,222,0.356636,2
989,235,0.470565,2
179,235,0.502198,2
91,238,0.414353,2
825,255,0.747372,2
261,241,0.358237,2
151,244,0.367104,2
62,263,0.453147,2
187,263,0.428037,2
771,268,0.37572,2
358,271,0.42919,2
533,303,0.61426,2
81,274,0.386905,2
123,277,0.503767,2
149,283,0.39701,2
881,289,0.41155,2
404,296,0.390775,2
177,289,0.35919,2
816,316,0.629729,2
196,294,0.351832,2
484,304,0.427222,2
126,314,0.453478,2
231,303,0.364638,2
422,303,0.357069,2
920,311,0.655244,2
306,314,0.477878,2
269,310,0.378499,2
54,313,0.361336,2
87,315,0.385716,2
448,320,0.486149,2
620,314,0.361457,2
20,334,0.470614,2
884,344,0.515187,2
147,334,0.374923,2
450,341,0.390822,2
203,352,0.527792,2
609,362,0.430513,2
293,363,0.479638,2
702,362,0.372022,2
67,378,0.472675,2
466,364,0.373309,2
117,375,0.426586,2
739,373,0.506914,2
916,372,0.355939,2
922,372,0.367777,2
615,384,0.445108,2
252,385,0.394472,2
421,386,0.399267,2
642,386,0.391133,2
786,390,0.450031,2
273,391,0.396684,2
532,389,0.379368,2
982,401,0.488988,2
172,405,0.497533,2
54,410,0.38662,2
612,412,0.376818,2
328,412,0.36842,2
483,428,0.51433,2
77,422,0.369539,2
96,426,0.42983,2
191,427,0.368165,2
358,424,0.354643,2
558,427,0.402462,2
939,424,0.354383,2
874,433,0.452134,2
273,439,0.491026,2
659,462,0.570591,2
58,440,0.450164,2
188,455,0.472677,2
86,453,0.392184,2
924,456,0.447094,2
594,455,0.362248,2
678,456,0.352434,2
537,464,0.47174,2
738,469,0.495196,2
227,475,0.477757,2
22,482,0.602763,2
145,471,0.366248,2
995,476,0.418438,2
486,475,0.358566,2
606,490,0.424602,2
105,490,0.356694,2
43,494,0.37862,2
300,496,0.407447,2
213,507,0.412981,2
833,497,0.365923,2
171,499,0.389098,2
640,506,0.443665,2
750,515,0.473769,2
17,509,0.404558,2
873,514,0.372429,2
489,521,0.548642,2
818,522,0.378051,2
186,522,0.35148,2
275,523,0.381227,2
630,524,0.365175,2
242,541,0.491804,2
910,532,0.461696,2
109,553,0.485072,2
73,544,0.412198,2
149,565,0.526269,2
303,543,0.48789,2
725,542,0.371436,2
816,540,0.350421,2
422,547,0.371686,2
847,548,0.413176,2
618,551,0.490862,2
965,554,0.474167,2
418,564,0.443823,2
717,561,0.364788,2
885,564,0.379868,2
900,570,0.352722,2
21,585,0.490332,2
293,611,0.562798,2
376,590,0.368868,2
37,594,0.393685,2
75,601,0.418443,2
879,604,0.365892,2
906,612,0.506516,2
400,610,0.373522,2
746,608,0.352552,2
44,620,0.53799,2
122,613,0.371468,2
753,612,0.376462,2
625,620,0.375317,2
168,630,0.353519,2
91,635,0.381516,2
49,642,0.42511,2
23,647,0.446724,2
761,653,0.41832,2
265,654,0.449518,2
285,659,0.385681,2
411,663,0.472577,2
896,659,0.370412,2
338,677,0.478513,2
826,664,0.437345,2
33,666,0.410419,2
995,673,0.486556,2
904,668,0.355024,2
263,672,0.405086,2
70,675,0.421575,2
708,681,0.399305,2
159,712,0.520565,2
35,685,0.432818,2
289,688,0.438,2
867,691,0.377874,2
467,696,0.540119,2
419,701,0.571969,2
19,711,0.441823,2
374,709,0.47534,2
282,708,0.381864,2
206,716,0.457724,2
653,721,0.469147,2
422,720,0.378388,2
131,728,0.453191,2
35,739,0.507606,2
399,743,0.421478,2
466,736,0.499059,2
347,749,0.379217,2
647,760,0.434169,2
923,764,0.458929,2
46,775,0.480625,2
699,771,0.488973,2
126,768,0.474256,2
819,767,0.373484,2
149,772,0.41728,2
417,774,0.421865,2
273,776,0.35919,2
220,788,0.458301,2
21,792,0.409014,2
453,809,0.465723,2
963,793,0.368653,2
346,801,0.372808,2
731,806,0.376862,2
877,812,0.416354,2
171,812,0.504807,2
373,812,0.438457,2
286,810,0.358661,2
400,823,0.398994,2
113,825,0.395068,2
802,825,0.382129,2
41,832,0.491028,2
430,836,0.441992,2
128,839,0.506837,2
179,838,0.419083,2
241,836,0.365002,2
768,842,0.434421,2
492,843,0.369167,2
34,854,0.579944,2
288,847,0.354418,2
622,851,0.395247,2
177,858,0.463343,2
785,865,0.463207,2
302,864,0.396673,2
73,875,0.437711,2
880,879,0.424909,2
89,883,0.382611,2
219,885,0.46048,2
160,891,0.392464,2
677,888,0.366543,2
815,895,0.398328,2
736,892,0.36406,2
174,909,0.419374,2
887,907,0.360396,2
95,912,0.384402,2
996,913,0.379201,2
885,921,0.396655,2
265,922,0.385702,2
310,922,0.391189,2
528,924,0.372148,2
680,926,0.37629,2
174,947,0.489926,2
395,935,0.410824,2
481,944,0.420181,2
285,946,0.394058,2
985,955,0.48085,2
664,960,0.357799,2
871,964,0.476976,2
762,966,0.357355,2
68,972,0.351541,2
445,979,0.389128,2
681,979,0.459797,2
968,983,0.440624,2
208,989,0.379154,2
415,999,0.38222,2
568,1004,0.568549,2
861,1005,0.38462,2
198,37,0.539109,0
166,87,0.700024,0
76,146,0.716862,1
105,260,0.732138,4
384,247,0.684014,1
225,97,0.71879,3
288,448,0.651686,3
38,532,0.790663,0
242,395,0.485125,1
32,57,0.663749,1
665,113,0.624256,1
629,764,0.393625,4
947,979,0.716101,1
463,477,0.568112,1
74,659,0.719436,4
189,697,0.60881,1
42,792,0.497662,0
338,624,0.659431,1
131,780,0.715047,0
161,16,0.510914,2
764,21,0.611072,2
791,16,0.3808,2
921,27,0.563267,2
972,52,0.575772,2
307,30,0.371968,2
50,33,0.361537,2
358,38,0.354023,2
48,47,0.445582,2
630,49,0.47493,2
762,46,0.390067,2
310,50,0.467999,2
734,50,0.38237,2
78,54,0.449465,2
377,62,0.480316,2
811,66,0.471324,2
112,80,0.538836,2
388,83,0.511954,2
680,74,0.363991,2
69,84,0.356484,2
889,103,0.610476,2
304,89,0.35833,2
849,99,0.585557,2
737,110,0.527043,2
479,103,0.581787,2
402,113,0.476253,2
584,110,0.370105,2
73,116,0.394645,2
167,113,0.385673,2
960,133,0.426914,2
312,126,0.362247,2
432,130,0.364226,2
886,159,0.486136,2
1002,140,0.433078,2
158,140,0.445766,2
834,140,0.374977,2
632,142,0.352857,2
720,151,0.48095,2
963,158,0.481364,2
393,151,0.407478,2
307,156,0.43221,2
578,156,0.39622,2
623,165,0.490149,2
841,167,0.447139,2
169,164,0.353671,2
933,183,0.538874,2
278,176,0.363604,2
166,180,0.388618,2
329,189,0.484159,2
426,184,0.35189,2
636,213,0.536504,2
756,202,0.398758,2
263,203,0.423799,2
453,206,0.423493,2
352,214,0.40073,2
910,216,0.420731,2
181,220,0.419064,2
262,220,0.366165,2
215,224,0.39764,2
471,224,0.445842,2
870,221,0.356268,2
911,247,0.531488,2
600,243,0.430599,2
490,250,0.351099,2
600,265,0.38476,2
963,277,0.493927,2
694,261,0.364283,2
824,272,0.353716,2
25,311,0.744769,2
863,286,0.371434,2
365,297,0.476366,2
96,292,0.391589,2
455,303,0.477025,2
910,295,0.523587,2
62,293,0.367068,2
314,298,0.560643,2
722,306,0.372624,2
540,309,0.400665,2
662,326,0.54846,2
73,322,0.55341,2
934,315,0.435101,2
908,314,0.409396,2
381,329,0.445605,2
979,333,0.387082,2
324,334,0.379406,2
882,333,0.351645,2
766,344,0.687812,2
884,342,0.352274,2
944,352,0.422642,2
