year,gq,gqtypeg,farm,ownershg,value,rent,ftotinc,nfams,ncouples,nmothers,nfathers,momloc,stepmom,momrule,poploc,steppop,poprule,sploc,sprule,famsize,nchild,nchlt5,famunit,eldch,yngch,nsibs,relateg,age,sex,raceg,marst,chborn,bplg,school,educrec,schltype,empstatg,labforce,occ1950,occscore,sei,ind1950,classwkg,wkswork2,hrswork2,yrlastwk,workedyr,inctot,incwage,incbus,incfarm,incss,incwelfr,incother,poverty,migrat5g,migplac5,vetstat,tranwork,__target__
0,0,0,0,0,0,0,49,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,37,1,2,4,,9,0,4,,1,1,,12,13,,0,2,1,,1,29,22,0,0,0,0,0,45,,,0,0,1
0,0,0,0,0,0,15,50,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,4,2,38,0,5,1,1,19,1,3,1,2,1,,0,0,,0,4,,3,1,30,23,0,0,0,0,0,46,,,0,,0
0,0,0,0,0,0,15,51,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,7,39,0,1,2,0,6,0,1,,1,1,,14,17,,0,,5,,0,0,0,0,0,0,0,0,47,,,0,2,0
0,0,0,0,0,0,13,52,0,0,1,1,0,0,0,0,0,0,0,0,4,1,1,0,1,1,0,0,40,0,0,0,0,0,0,1,,1,1,,9,9,,0,2,2,,1,31,24,0,0,0,0,0,3,,,0,2,0
0,0,0,0,1,12,2,53,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,7,9,0,1,39,1,0,0,,0,0,1,,1,1,,13,18,,0,2,2,,1,32,25,0,0,0,0,0,48,,,0,0,3
0,0,0,0,0,0,6,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,10,0,0,37,0,1,0,0,20,1,0,1,1,1,,15,19,,0,3,0,,1,33,26,0,0,0,0,0,49,1,1,0,1,0
0,0,0,0,0,0,5,39,0,1,0,1,0,0,0,0,0,0,1,1,0,4,1,0,9,11,0,1,41,0,0,4,5,18,0,2,,1,1,,3,12,,0,5,2,,1,21,16,0,0,0,0,0,50,,,0,2,3
0,0,0,0,0,0,12,55,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,42,0,0,3,0,21,0,1,,0,0,,2,2,,,,,2,0,34,0,0,0,7,4,0,51,,,0,,2
0,0,0,0,1,5,2,56,0,1,0,1,1,0,1,0,0,0,1,1,4,1,1,0,1,1,0,1,43,1,5,1,,22,0,8,,1,1,,6,20,,0,2,2,,1,35,27,0,0,0,0,0,3,,,0,0,4
0,0,0,0,1,3,2,57,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,10,12,0,1,15,1,0,0,,0,0,0,,1,1,,9,9,,0,2,1,,1,36,13,0,0,0,0,0,52,0,0,0,0,2
0,0,0,0,1,13,2,58,0,0,1,1,0,0,0,0,0,0,0,0,4,1,1,0,1,1,0,0,44,0,1,0,2,23,0,1,,0,0,,2,2,,,,,5,0,0,0,0,0,0,0,0,53,,,0,,0
0,0,0,0,1,1,2,59,0,1,0,1,2,0,1,0,0,0,1,1,0,1,1,0,1,1,2,2,38,1,0,1,,0,1,1,1,1,1,,16,21,,0,2,0,,1,37,28,0,0,0,0,0,54,,,0,0,0
0,0,0,0,1,1,2,60,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,11,5,0,0,4,0,2,0,6,9,0,1,,1,1,,10,11,,0,2,0,,1,38,29,0,0,0,0,0,13,,,0,0,0
0,0,0,0,1,5,2,61,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,4,7,0,0,45,0,0,0,6,0,0,0,,0,0,,12,0,,0,,,0,0,0,0,0,0,0,0,0,1,,,0,,0
0,0,0,0,0,0,15,62,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,4,2,46,0,0,1,,0,1,7,1,,,,2,2,,,,,,,2,2,1,1,1,1,1,55,,,,,0
0,0,0,0,0,0,3,63,0,1,0,1,3,0,1,0,0,0,1,1,3,1,1,0,1,1,2,4,25,0,0,4,2,18,0,4,,1,1,,17,11,,0,5,5,,1,39,30,0,0,0,0,0,56,3,2,0,2,0
0,0,0,0,1,5,2,64,0,0,1,1,0,0,0,0,0,0,2,0,4,1,1,0,1,1,0,1,47,1,0,0,,5,0,0,,1,1,,18,9,,0,2,2,,1,40,31,0,0,0,0,0,3,1,1,1,3,5
0,0,0,0,0,0,16,65,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,29,1,1,1,,1,0,1,,2,1,,19,22,,0,4,,3,1,41,32,0,0,0,0,4,57,0,0,0,,2
0,0,0,0,1,8,2,66,0,0,0,0,0,0,0,0,0,0,0,2,7,2,2,0,12,13,0,0,45,1,0,0,,24,0,8,,1,1,,9,9,,0,2,1,,1,42,33,0,0,0,0,0,3,,,0,0,0
0,0,0,0,0,0,5,67,0,0,0,0,1,0,1,1,0,1,1,1,3,1,1,0,1,1,2,2,48,1,3,1,,0,1,2,1,,,,2,2,,,,,,,2,2,1,1,1,1,1,58,0,0,,,0
0,0,0,0,1,14,2,68,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,0,13,14,0,1,15,1,0,0,,25,0,6,,1,1,,19,23,,0,2,1,,1,43,34,0,0,0,0,0,59,1,1,1,0,4
0,0,0,0,1,15,2,69,1,1,0,1,2,0,1,0,0,0,1,1,7,1,1,0,1,1,4,2,36,0,0,1,,0,1,2,1,,,,2,2,,,,,,,2,2,1,1,1,1,1,60,,,,,0
0,0,0,0,1,3,2,70,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,14,15,0,0,23,0,0,0,0,26,0,0,,1,1,,20,24,,0,0,2,,1,44,35,0,0,0,0,0,3,4,4,0,0,0
0,0,0,0,1,3,2,71,0,0,0,1,0,0,0,0,0,0,0,0,3,1,1,0,1,1,0,0,40,0,0,0,2,12,0,0,,1,1,,1,1,,0,2,2,,1,45,36,0,0,0,0,0,3,,,0,0,0
0,0,0,0,0,0,5,1,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,13,1,0,1,,18,0,7,,1,1,,17,15,,0,2,0,,1,1,1,0,0,0,0,0,1,0,0,0,0,2
0,0,0,0,0,0,17,72,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,49,1,0,1,,15,0,4,,0,0,,2,2,,,,,5,0,46,0,0,0,8,0,0,61,1,1,0,,6
0,0,0,0,0,0,13,73,0,0,0,0,1,0,1,1,0,1,1,1,2,1,1,0,1,1,1,2,9,0,0,1,,0,0,2,,,,,2,2,,,,,,,2,2,1,1,1,1,1,62,,,,,0
0,0,0,0,0,0,18,74,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,50,1,0,1,,27,1,8,1,1,1,,19,19,,0,2,2,,1,47,37,0,0,0,0,0,63,0,0,0,0,2
0,0,0,0,1,0,2,75,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,32,0,0,3,0,28,0,6,,0,0,,2,2,,,,,5,0,48,0,0,0,9,0,0,64,,,0,,5
0,0,0,0,0,0,5,76,0,0,0,0,1,0,1,1,0,1,1,1,3,1,1,0,1,1,2,2,30,0,0,1,,0,1,2,2,,,,2,2,,,,,,,2,2,1,1,1,1,1,65,,,,,0
0,0,0,0,0,0,7,77,0,0,2,0,0,0,0,0,0,0,0,0,3,0,1,0,15,16,0,0,51,0,2,0,5,23,0,1,,0,0,,2,2,,,,,5,0,0,0,0,0,0,0,0,66,,,0,,0
0,0,0,0,0,0,14,78,0,0,0,0,1,0,1,1,0,1,1,1,3,1,1,0,1,1,2,2,26,1,0,1,,0,0,,,,,,2,2,,,,,,,2,2,1,1,1,1,1,67,,,,,0
0,0,0,0,1,16,2,48,0,0,0,0,1,0,1,1,0,1,1,1,8,1,1,0,1,1,6,2,11,1,0,1,,18,1,4,1,,,,2,2,,,,,,,0,2,1,1,0,0,0,68,,,,,0
0,0,0,0,0,0,6,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,13,2,0,0,3,0,0,0,1,18,0,7,,0,0,,2,2,,,,,2,0,0,0,0,0,0,0,0,69,,,0,,0
0,0,0,0,1,17,2,80,0,0,1,1,0,0,0,0,0,0,0,0,4,1,1,0,1,1,0,0,29,0,1,0,1,29,0,6,,0,0,,2,2,,,,,4,0,0,0,0,0,0,0,0,70,0,0,0,,0
0,0,0,0,0,0,1,81,0,1,0,1,0,0,0,0,0,0,1,1,7,0,2,0,4,0,0,1,37,0,0,5,0,24,0,1,,0,0,,2,2,,,,,4,0,49,0,0,0,0,5,0,9,1,1,0,,3
0,0,0,0,1,7,2,82,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,4,10,0,1,50,1,0,0,,18,0,4,,0,0,,14,25,,0,,,6,0,0,0,0,0,0,0,0,71,1,1,0,,2
0,0,0,0,0,0,13,83,0,0,1,1,0,0,0,0,0,0,0,0,7,1,1,0,1,1,0,0,51,0,1,0,1,30,0,4,,1,1,,21,26,,0,2,4,,1,50,38,0,0,10,6,0,47,1,1,0,0,0
0,0,0,0,1,10,2,84,0,1,1,1,0,0,0,0,0,0,1,1,4,1,1,0,1,1,0,1,12,1,0,3,,15,0,4,,1,1,,4,4,,0,2,2,,1,51,39,0,0,0,0,0,17,,,1,3,4
0,0,0,0,0,0,7,85,0,1,0,1,0,0,0,0,0,0,1,1,4,2,1,0,14,15,0,1,52,0,0,4,0,31,0,0,,1,1,,1,1,,0,2,2,,1,52,40,0,0,0,0,0,72,1,1,0,0,3
0,0,0,0,1,0,2,86,0,0,0,0,1,0,1,1,0,1,1,1,6,1,1,0,1,1,5,2,10,1,0,1,,18,1,7,1,,,,2,2,,,,,,,2,2,1,1,1,1,1,4,,,,,0
0,0,0,0,1,1,2,87,0,0,1,1,0,0,0,0,0,0,2,0,4,1,1,0,1,1,0,1,53,1,0,0,,0,0,8,,1,1,,22,27,,0,2,6,,1,53,41,0,0,0,0,0,3,1,1,0,0,1
0,0,0,0,1,3,2,88,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,4,2,14,1,0,1,,0,1,4,1,,,,2,2,,,,,,,2,2,1,1,1,1,1,3,,,,,0
0,0,0,0,1,6,2,89,0,1,0,1,2,0,1,0,0,0,1,1,0,1,1,0,1,1,2,2,22,0,0,1,1,0,1,5,1,1,1,,0,0,,0,,0,,0,0,0,0,0,0,0,0,16,,,0,0,0
0,0,0,0,0,0,19,90,0,0,1,1,0,0,0,0,0,0,1,1,7,1,1,0,1,1,4,8,25,1,0,1,,18,0,7,,1,1,,23,17,,0,2,2,,1,54,42,0,0,0,0,0,73,3,2,0,0,0
0,0,0,0,0,0,7,91,0,0,0,0,0,0,0,0,0,0,2,0,7,2,1,0,16,17,0,1,51,1,0,0,,0,0,8,,1,1,,19,19,,0,2,2,,1,55,43,0,0,0,0,0,43,1,1,1,0,3
0,0,0,0,0,0,0,92,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,0,1,1,4,2,22,1,0,1,,18,1,5,1,0,0,,2,2,,,,,2,0,0,0,0,0,0,0,0,74,,,0,,0
0,0,0,0,1,12,2,5,0,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,54,1,0,3,,0,0,8,,0,0,,24,23,,0,4,,3,1,56,44,0,0,11,0,0,3,,,0,,5
0,0,0,0,1,0,2,93,0,1,1,1,0,0,0,0,0,0,1,1,7,1,1,0,1,1,2,1,45,0,0,1,1,0,0,8,,0,0,,24,28,,0,,,0,0,57,0,0,0,12,0,0,3,,,0,,4
0,0,0,0,1,17,2,94,0,0,0,0,0,0,0,0,0,0,0,0,7,2,1,0,10,11,0,0,29,0,1,0,2,14,0,1,,0,0,,2,2,,,,,2,0,0,0,0,0,0,0,0,47,,,0,,0
0,0,0,0,1,4,2,95,0,0,1,1,0,0,0,0,0,0,2,0,4,1,1,0,1,1,0,1,55,1,0,0,,32,1,8,1,0,0,,2,2,,,,,5,0,58,0,0,0,13,0,5,75,3,2,0,,2
0,0,0,0,0,0,17,96,0,1,1,1,0,0,0,0,0,0,1,1,0,1,1,0,1,1,0,6,38,0,1,1,2,0,0,6,,0,0,,2,2,,,,,2,0,0,0,0,0,0,0,0,76,1,1,0,,0
0,0,0,0,0,0,13,97,0,0,1,1,0,0,0,0,0,0,2,0,4,1,1,0,1,1,0,1,56,1,0,0,,33,0,4,,1,1,,17,15,,1,2,2,,1,59,0,2,0,0,0,0,77,1,1,0,0,3
0,0,0,0,1,0,2,98,0,1,1,1,0,0,0,0,0,0,1,1,7,1,1,0,1,1,2,4,50,0,0,4,2,14,0,4,,1,1,,9,9,,0,3,2,,1,60,45,0,0,0,0,0,18,0,0,0,0,0
0,0,0,0,0,0,7,99,0,0,0,0,0,0,0,0,0,0,1,1,5,1,1,0,1,1,0,5,0,1,0,1,,8,0,0,,1,1,,1,1,,0,2,2,,1,61,46,0,0,0,0,0,34,,,0,0,0
0,0,0,0,0,0,5,100,0,1,0,1,2,0,1,0,0,0,1,1,4,1,1,0,1,1,0,2,48,0,0,1,,34,1,2,1,,,,2,2,,,,,,,2,2,1,1,1,1,1,78,4,5,,,0
0,0,0,0,0,0,2,101,0,0,0,0,1,0,1,1,0,1,1,1,3,1,1,0,1,1,4,2,9,0,0,1,,0,0,2,,,,,2,2,,,,,,,2,2,1,1,1,1,1,79,,,,,0
0,0,0,0,1,14,2,102,0,0,0,0,1,0,1,1,0,1,1,1,7,1,1,0,1,1,0,2,25,0,0,1,1,19,1,8,1,1,1,,25,29,,0,2,5,,1,62,47,0,0,0,0,0,3,,,0,0,0
0,0,0,0,1,4,2,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,14,2,0,0,57,0,0,0,0,14,0,3,,1,1,,1,10,,0,5,2,,1,63,48,0,0,0,0,0,17,,,0,0,0
0,0,0,0,0,0,12,104,0,1,0,1,2,0,1,0,0,0,1,1,7,1,1,0,1,1,4,2,38,0,0,1,1,3,1,0,1,1,1,,12,0,,0,1,2,,1,39,30,0,0,0,0,0,46,1,1,0,0,0
0,0,0,0,1,3,2,105,0,0,1,1,0,0,0,0,0,0,0,0,7,1,1,0,1,1,0,0,12,0,0,0,6,5,0,3,,0,0,,2,2,,,,,5,0,0,0,0,0,0,0,0,3,1,1,0,,0
0,0,0,0,1,1,2,106,1,1,1,1,0,0,0,0,0,0,1,1,1,1,1,0,1,1,0,1,13,1,0,1,,6,0,1,,1,1,,14,13,,0,2,2,,1,64,49,0,0,0,0,0,3,0,0,1,0,1
0,0,0,0,1,18,2,107,0,0,0,0,0,0,0,0,0,0,1,1,6,1,1,0,1,1,4,8,3,1,1,1,,14,1,3,1,1,1,,16,21,,0,4,0,,1,65,50,0,0,0,0,0,6,4,6,0,1,0
0,0,0,0,0,0,0,108,0,1,0,1,2,0,1,0,0,0,1,1,7,1,1,0,1,1,4,2,58,0,0,1,,0,1,7,1,,,,2,2,,,,,,,2,2,1,1,1,1,1,80,,,,,0
